templates,answers,expressions
a scuba diver descends at a rate of num1 feet per minute . a diver dive from a ship to search for a lost ship at the depth of num2 feet below the sea level . . how long will he take to reach the ship ?,( num2/num1 ),a/b
"a worker makes a toy in every num1 h . if he works for num2 h , then how many toys will he make ?",( num2/num1 ),a/b
"hcf of two numbers is num1 and the product of these numbers is num2 , what is the the greater number ?",( num2/num1 ),a/b
"how many of the positive factors of num1 , num2 and how many common factors are there in numbers ?",( num2/num1 ),a/b
how many trucks are there if each truck carrying num1 packages and total of num2 packages ?,( num2/num1 ),a/b
"n people were sitting on a circular manner , if each of two present in the party except the pairs were adjacent sang a song , if a song lasted for num1 mins and num2 minutes was taken for singing song , find n",( num2/num1 ),a/b
a customer pays num1 dollars for a coffee maker after a discount of num2 dollars what is the original price of the coffe maker ?,( num1 + num2 ),a+b
"a dog has num1 bones , then he finds num2 more bones . now how many bones does he have .",( num1 + num2 ),a+b
"if there are num1 peanuts in a box and mary puts num2 more peanuts inside , how many peanuts are in the box ?",( num1 + num2 ),a+b
julian owes his classmate jenny num1 dollars . if he borrows num2 dollars how much will he owe her ?,( num1 + num2 ),a+b
"lilly has num1 fish and rosy has num2 fish . in total , how many fish do they have in all ?",( num1 + num2 ),a+b
"there are num1 bees in the hive , then num2 more fly . how many bees are there in all ?",( num1 + num2 ),a+b
"Tom's fruit bowl contains num1 oranges and num2 lemons. After Tom eats num3 of the fruits, how many fruits remain in Tom's fruit bowl?",( num1 + num2 )- num3 ,a+b-c
" num1 students are required to paint a picture . num2 use green color and some children use red , num3 students use both the colors . how many students use red color ?",(( num1-num2 )+ num3 ),a+b-c
"in a class , num1 students like to play basketball and num2 like to play cricket . num3 students like to play on both basketball and cricket . how many students like to play basketball or cricket or both ?",(( num1 + num2 )- num3 ),a+b-c
"in a group of houses , num1 had dogs , num2 had cats and num3 houses having both dogs and cats . what is the number of houses ?",(( num1 + num2 )- num3 ),a+b-c
in a college students can play cricket or basketball . num1 play cricket . num2 played both and num3 played basketball . what is the total strength of college ?,(( num1 + num3 )- num2 ),a+b-c
sobha ' s father was num1 years of age when she was born while her mother was num2 years old when her brother num3 years younger to her was born . what is the difference between the ages of her parents ?,(( num1 + num3 )- num2 ),a+b-c
the average monthly income of p and q is rs . num1 . the average monthly income of q and r is rs . num2 and the average monthly income of p and r is rs . num3 . the monthly income of p is ?,(( num1 + num3 )- num2 ),a+b-c
" num1 pupil total , out of num2 like pizza , num3 like burger , then how many like both ?",(( num2 + num3 )- num1 ),a+b-c
"a , b and c have rs . num1 between them , a and c together have rs . num2 and b and c rs . num3 . how much does c have ?",(( num2 + num3 )- num1 ),a+b-c
"in a group of num1 players some are outdoor players , some are indoor players and some plays both . num2 plays outdoors and num3 plays indoor . how many plays indoor as well as outdoor games .",(( num2 + num3 )- num1 ),a+b-c
"in a group of num1 readers who read science fiction or literacy works or both , num2 read science fiction and num3 read literacy works . how many read both science fiction and literacy works ?",(( num2 + num3 )- num1 ),a+b-c
"in the class of num1 students , num2 speak hindi and num3 speak english . what is the lowest possible number of students who speak both the languages ?",(( num2 + num3 )- num1 ),a+b-c
"two family reunions are happening at the park avenue hotel , the oates reunion and the hall reunion . all num1 guests at the hotel attend at least one of the reunions . if num2 people attend the oates reunion and num3 people attend the hall reunion , how many people attend both reunions",(( num2 + num3 )- num1 ),a+b-c
"two family reunions are happening at the same hotel , the oates reunion and the yellow reunion . all num1 guests at the hotel attend at least one of the reunions . if num2 people attend the oates reunion and num3 people attend the yellow reunion , how many people attend both reunions ?",(( num2 + num3 )- num1 ),a+b-c
"when xyz co discontinued an agency arrangement with john , management held his commission of rs . num1 /-for one month . earlier john had availed an advance agency fees of num2 /-from company . but robert forgot that . after one month john asked his fees and accountant gives rs . num3 /-to him . what is the incentive amount given to john ?",(( num2 + num3 )- num1 ),a+b-c
"in the class of num1 students , num2 speak tamil and num3 speak telugu . what is the lowest possible number of students who speak both the languages ?",(( num3 + num2 )- num1 ),a+b-c
there are num1 kids in a play school . num2 kids play with white color balls and some kids play with yellow color balls and num3 kids play with both color balls . how many kids use yellow color balls ?,( num1 -( num2-num3 )),a+b-c
"a , b , c together can earn $ num1 per day . while a and c together earn $ num2 and b and c together can earn $ num3 . the daily earnings of c ?",( num3 -( num1-num2 )),a+b-c
"anne bought doughnuts for a class breakfast party . she bought num1 chocolate doughnuts , num2 coconut doughnuts , and num3 jam-filled doughnuts . how many doughnuts did anne buy in all ?",(( num1 + num2 )+ num3 ),a+b+c
"if num1 cm of a pencil is purple , num2 cm of the remaining is black and the remaining num3 cm is blue , what is the total length of the pencil ?",(( num1 + num2 )+ num3 ),a+b+c
"in kaya ' s teacher ' s desk there are num1 pink highlighters , num2 yellow highlighters , and num3 blue highlighters . how many highlighters are there in all ?",(( num1 + num2 )+ num3 ),a+b+c
"there are num1 brown dogs , num2 white dogs , num3 black dogs . totally how many dogs are there in all ?",(( num1 + num2 )+ num3 ),a+b+c
